date,open,high,low,close,volume,average,barCount
2025-10-21 04:00:00-04:00,262.26,262.26,261.59,261.7,1464.0,261.859,11
2025-10-21 04:01:00-04:00,261.52,261.78,261.52,261.7,824.0,261.688,4
2025-10-21 04:02:00-04:00,261.56,261.7,261.56,261.7,564.0,261.627,4
2025-10-21 04:03:00-04:00,261.56,261.59,261.56,261.59,481.0,261.566,2
2025-10-21 04:04:00-04:00,261.51,261.59,261.47,261.59,735.0,261.518,6
2025-10-21 04:05:00-04:00,261.55,261.55,261.55,261.55,125.0,261.55,1
2025-10-21 04:06:00-04:00,261.52,261.52,261.5,261.5,325.0,261.508,3
2025-10-21 04:07:00-04:00,261.5,261.5,261.3,261.3,2049.0,261.347,16
2025-10-21 04:08:00-04:00,261.26,261.26,261.2,261.2,525.0,261.22,5
2025-10-21 04:09:00-04:00,261.3,261.3,261.3,261.3,294.0,261.3,2
2025-10-21 04:10:00-04:00,261.3,261.3,261.3,261.3,0.0,261.3,0
2025-10-21 04:11:00-04:00,261.25,261.25,261.25,261.25,155.0,261.25,1
2025-10-21 04:12:00-04:00,261.25,261.25,261.25,261.25,0.0,261.25,0
2025-10-21 04:13:00-04:00,261.2,261.2,261.1,261.1,1071.0,261.126,4
2025-10-21 04:14:00-04:00,261.04,261.1,261.04,261.1,240.0,261.075,2
2025-10-21 04:15:00-04:00,261.1,261.1,261.1,261.1,0.0,261.1,0
2025-10-21 04:16:00-04:00,261.11,261.11,260.93,260.93,4867.0,261.007,19
2025-10-21 04:17:00-04:00,260.93,260.93,260.93,260.93,0.0,260.93,0
2025-10-21 04:18:00-04:00,260.93,260.93,260.93,260.93,0.0,260.93,0
2025-10-21 04:19:00-04:00,261.09,261.09,261.09,261.09,100.0,261.09,1
2025-10-21 04:20:00-04:00,260.91,260.91,260.91,260.91,100.0,260.91,1
2025-10-21 04:21:00-04:00,260.91,260.91,260.91,260.91,0.0,260.91,0
2025-10-21 04:22:00-04:00,260.91,260.91,260.91,260.91,0.0,260.91,0
2025-10-21 04:23:00-04:00,260.91,260.91,260.91,260.91,0.0,260.91,0
2025-10-21 04:24:00-04:00,260.91,260.91,260.91,260.91,0.0,260.91,0
2025-10-21 04:25:00-04:00,261.2,261.36,261.2,261.36,358.0,261.315,3
2025-10-21 04:26:00-04:00,261.39,261.58,261.39,261.58,515.0,261.464,4
2025-10-21 04:27:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:28:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:29:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:30:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:31:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:32:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:33:00-04:00,261.35,261.35,261.35,261.35,100.0,261.35,1
2025-10-21 04:34:00-04:00,261.35,261.35,261.35,261.35,0.0,261.35,0
2025-10-21 04:35:00-04:00,261.54,261.54,261.54,261.54,100.0,261.54,1
2025-10-21 04:36:00-04:00,261.54,261.54,261.54,261.54,0.0,261.54,0
2025-10-21 04:37:00-04:00,261.54,261.54,261.54,261.54,0.0,261.54,0
2025-10-21 04:38:00-04:00,261.42,261.42,261.42,261.42,100.0,261.42,1
2025-10-21 04:39:00-04:00,261.43,261.5,261.42,261.49,652.0,261.468,5
2025-10-21 04:40:00-04:00,261.49,261.49,261.49,261.49,0.0,261.49,0
2025-10-21 04:41:00-04:00,261.44,261.44,261.44,261.44,165.0,261.44,1
2025-10-21 04:42:00-04:00,261.37,261.37,261.37,261.37,100.0,261.37,1
2025-10-21 04:43:00-04:00,261.36,261.77,261.35,261.77,4665.0,261.518,17
2025-10-21 04:44:00-04:00,261.78,261.93,261.78,261.8,3527.0,261.879,13
2025-10-21 04:45:00-04:00,261.89,261.92,261.89,261.92,992.0,261.916,5
2025-10-21 04:46:00-04:00,261.92,261.96,261.77,261.77,638.0,261.892,6
2025-10-21 04:47:00-04:00,261.77,261.77,261.77,261.77,0.0,261.77,0
2025-10-21 04:48:00-04:00,261.8,261.81,261.78,261.81,592.0,261.799,4
2025-10-21 04:49:00-04:00,261.81,261.81,261.81,261.81,0.0,261.81,0
2025-10-21 04:50:00-04:00,261.81,261.81,261.81,261.81,0.0,261.81,0
2025-10-21 04:51:00-04:00,261.59,261.59,261.59,261.59,118.0,261.59,1
2025-10-21 04:52:00-04:00,261.58,261.58,261.58,261.58,913.0,261.58,3
2025-10-21 04:53:00-04:00,261.58,261.58,261.58,261.58,0.0,261.58,0
2025-10-21 04:54:00-04:00,261.41,261.41,261.41,261.41,100.0,261.41,1
2025-10-21 04:55:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 04:56:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 04:57:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 04:58:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 04:59:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 05:00:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 05:01:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 05:02:00-04:00,261.41,261.41,261.41,261.41,0.0,261.41,0
2025-10-21 05:03:00-04:00,261.6,261.6,261.6,261.6,100.0,261.6,1
2025-10-21 05:04:00-04:00,261.6,261.6,261.6,261.6,0.0,261.6,0
2025-10-21 05:05:00-04:00,261.62,261.62,261.62,261.62,140.0,261.62,1
2025-10-21 05:06:00-04:00,261.74,261.74,261.74,261.74,100.0,261.74,1
2025-10-21 05:07:00-04:00,261.68,261.68,261.68,261.68,100.0,261.68,1
2025-10-21 05:08:00-04:00,261.68,261.68,261.68,261.68,0.0,261.68,0
2025-10-21 05:09:00-04:00,261.68,261.68,261.68,261.68,0.0,261.68,0
2025-10-21 05:10:00-04:00,261.68,261.68,261.68,261.68,0.0,261.68,0
2025-10-21 05:11:00-04:00,261.7,261.73,261.7,261.73,227.0,261.714,2
2025-10-21 05:12:00-04:00,261.66,261.66,261.66,261.66,100.0,261.66,1
2025-10-21 05:13:00-04:00,261.66,261.66,261.66,261.66,0.0,261.66,0
